,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
121,2021-02-18,GERALDTON,8,R8 1413m Hcap,1.179420571,36612075,8. Fetch More Ammo,8.27,R8 1413m Hcap,WINNER,17275.51,5.1,6.6,5,1,0.12091898428053205,0.19607843137254904
122,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,38521620,11. Glowing Rock,193.02,R9 1213m Hcap,LOSER,255.77,240.0,170,180,0,0.005180810278727592,0.004166666666666667
123,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,12668826,10. Fully Stoked,88.09,R9 1213m Hcap,LOSER,500.71,75.0,55,55,0,0.0113520263367011,0.013333333333333334
124,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,24900308,9. Allageri,17.16,R9 1213m Hcap,WINNER,14512.96,7.78,10,8.2,1,0.05827505827505827,0.12853470437017994
125,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,23570662,7. Bitovemu,12.93,R9 1213m Hcap,LOSER,7246.41,9.8,6.8,8.2,0,0.07733952049497293,0.1020408163265306
126,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,26872448,6. Evolutionist,32.72,R9 1213m Hcap,LOSER,796.85,55.0,34,44,0,0.03056234718826406,0.01818181818181818
127,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,35672601,5. True Ora,18.7,R9 1213m Hcap,LOSER,1056.56,85.0,32,60,0,0.053475935828877004,0.011764705882352941
128,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,18359400,4. Mass Effect,96.13,R9 1213m Hcap,LOSER,265.81,235.21,140,310,0,0.010402579839800271,0.004251519918370817
129,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,27994832,3. Paris Report,2.33,R9 1213m Hcap,LOSER,37955.73,3.2,3.3,3.35,0,0.4291845493562232,0.3125
130,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,9404747,1. Danehill Matilda,29.05,R9 1213m Hcap,LOSER,2389.25,28.04,26,25,0,0.03442340791738382,0.03566333808844508
131,2021-02-18,GERALDTON,9,R9 1213m Hcap,1.179420573,26236559,8. All The Julz,12.75,R9 1213m Hcap,LOSER,2900.65,20.0,19,18,0,0.0784313725490196,0.05
